product_id,product_category,sales,price,VAP,pet_size,pet_type,re_buy
5040,0,123,7293,0,0,0,1
4567,1,61,9304,1,0,1,0
4237,1,218,8180,0,0,2,0
4364,2,69,18559,1,1,3,1
4184,3,138,10283,1,1,3,0
4609,0,183,3969,1,1,1,0
4380,1,79,13519,1,2,3,0
4389,0,205,13078,0,1,1,0
4697,3,116,13701,0,0,1,0
4238,3,141,19082,1,3,3,1
4650,2,185,14479,1,2,3,1
4360,3,50,9778,1,2,3,0
4588,0,93,16267,0,3,3,1
4319,2,192,4624,0,1,1,0
4613,3,186,13200,1,3,1,1
4890,0,182,13313,1,0,3,0
4777,2,229,3479,0,3,1,0
4541,0,185,8419,1,4,1,0
4737,2,129,11817,1,3,1,0
4341,2,126,840,0,4,1,1
4478,0,210,15075,1,3,3,1
4179,4,93,17941,1,1,1,0
4384,4,204,10308,0,1,3,1
4561,2,224,8357,0,4,1,1
4271,3,188,1693,0,4,0,1
4464,0,142,11357,0,1,3,0
4615,4,131,19039,0,2,1,0
4671,2,8,17959,1,4,1,1
4456,0,61,13762,0,4,3,1
4316,3,22,5198,1,4,3,1
4756,3,170,10579,1,0,3,0
5025,0,172,18975,1,3,4,1
4595,2,117,9420,1,2,1,0
4575,4,74,6781,0,2,1,1
4891,2,137,18124,0,3,1,0
4513,3,42,15047,0,3,1,1
4208,4,218,6153,0,3,3,1
5021,1,196,18629,0,3,4,1
4224,0,12,10958,0,1,4,1
4938,0,162,10668,0,0,3,0
4551,2,100,9905,1,4,1,0
4477,0,202,6464,1,0,1,1
4648,4,230,1489,0,3,3,0
4506,2,13,6676,1,4,3,1
4594,2,143,881,0,1,3,0
4813,2,53,7109,0,3,1,1
4273,5,25,5330,0,3,2,0
4945,2,21,14824,1,3,1,0
4913,1,213,13402,1,3,1,0
4640,0,21,14208,1,2,3,1
4427,5,101,944,0,0,1,0
4476,4,188,5849,0,4,3,1
4443,4,225,17011,1,3,1,1
4451,2,139,4722,0,4,1,1
4830,0,140,6841,1,0,3,1
4865,1,223,13760,1,3,1,1
5001,0,110,15696,0,3,4,0
5048,1,66,12989,0,0,0,1
4509,4,55,13175,1,1,1,1
4441,2,15,14030,1,4,1,1
4857,0,25,13558,0,3,1,1
4434,0,170,8446,1,1,3,1
4531,4,88,6162,1,4,1,1
5049,0,74,13722,0,3,4,1
4818,0,30,16899,1,0,3,1
4258,0,202,14110,0,3,5,0
4426,3,228,18570,1,4,3,0
4599,0,230,5804,1,1,1,1
4750,3,111,7730,0,0,3,1
4261,3,25,8774,1,4,2,1
4500,0,177,366,0,2,3,1
4988,1,65,16562,0,0,0,0
4482,5,210,2052,0,0,3,1
4565,0,85,2189,1,2,1,1
4284,5,202,15632,1,1,4,0
4428,4,140,6628,0,3,3,0
4215,1,178,12025,0,2,1,1
4216,3,151,12411,1,4,5,0
4995,0,25,7162,0,3,4,0
4880,1,11,3374,0,0,3,0
4253,2,71,16618,1,3,0,1
4373,4,138,18428,1,3,1,1
4952,1,20,8239,1,0,3,0
4280,0,64,2586,0,2,3,0
4254,2,114,6305,0,1,4,0
4682,3,143,16350,0,0,3,1
4525,3,115,14310,0,2,1,0
4191,0,160,17625,0,4,1,1
4432,4,137,8258,1,0,3,0
4189,0,17,3824,0,1,2,1
4533,0,35,3839,1,3,1,1
4375,2,117,5707,0,2,1,0
4581,5,188,9081,1,4,1,0
4936,2,122,6845,0,0,3,0
4338,3,163,4804,1,3,3,0
4498,4,151,10257,1,3,3,1
4293,3,66,1546,0,3,1,1
4520,4,141,256,1,2,3,1
4629,0,77,13957,0,1,1,1
4874,1,45,3101,1,0,3,0
4775,1,172,8315,1,3,1,0
4439,4,102,7497,1,1,1,0
4875,0,118,6593,1,3,1,0
4839,0,125,12472,1,3,1,1
4556,1,52,15504,0,4,3,0
4811,1,121,18459,1,3,1,1
4491,3,151,2039,0,4,1,0
4685,3,73,19365,0,2,1,1
4752,2,116,2703,0,0,3,0
4991,1,118,482,0,3,4,0
4923,0,22,17573,0,3,1,0
4977,0,134,4211,1,3,4,0
4674,4,49,16297,0,1,3,0
4628,2,161,12188,1,3,3,1
4356,0,114,12577,0,4,3,1
4289,4,160,12720,1,1,0,0
4696,3,155,16160,1,4,3,0
4863,0,75,1679,0,3,1,1
4197,4,90,2495,1,0,1,1
4220,2,101,15175,1,2,3,1
4577,0,14,10170,1,0,1,0
4187,2,6,8334,1,0,0,0
4681,3,20,7552,1,4,1,0
4562,2,153,15857,1,0,3,0
4453,0,188,10339,0,3,1,0
4858,2,166,6622,0,0,3,1
4233,0,108,12365,0,3,1,1
5015,1,59,2697,1,3,4,1
4801,2,175,4525,0,3,1,1
4717,3,78,14971,1,3,1,1
4198,2,87,9192,1,3,5,0
4980,0,126,2982,0,0,0,0
4315,3,207,10730,1,2,1,0
4592,5,34,9095,0,0,3,0
4906,2,86,12479,0,0,3,0
4837,2,25,1096,0,3,1,1
4922,1,196,17032,0,0,3,0
4870,2,36,4615,0,0,3,0
4634,3,49,17059,1,1,3,0
4716,2,99,4531,0,0,3,0
4269,0,183,16371,1,1,1,0
5004,0,116,11762,1,0,0,0
4954,2,94,300,1,0,3,0
4796,1,80,14526,1,0,3,1
4799,1,184,13022,1,3,1,1
4240,5,180,14791,0,2,5,0
4937,1,75,8580,1,3,1,0
4981,2,150,16581,1,3,4,0
4790,1,79,12241,1,0,3,0
4181,0,44,3147,0,4,0,1
4259,1,97,7444,0,1,0,0
5047,2,94,12203,1,3,4,1
4377,4,66,16816,1,0,1,1
